ID,Story,Type,Name,Host Wall,Offset,Width,Height,Sill
D101,F1,door,Front Entry,W101,"22'-0""","4'-0""","8'-0""","0"""
D102,F1,door,Theater Door,W111,"4'-0""","3'-0""","6'-8""","0"""
D103,F1,door,Bedroom 2 Door,W114,"9'-0""","3'-0""","6'-8""","0"""
D104,F1,door,Bath 2 Door,W115,"2'-6""","3'-0""","6'-8""","0"""
D105,F1,door,Central Hall to Primary Suite,W113,"20'-0""","3'-0""","6'-8""","0"""
D106,F1,door,Primary Bedroom Door,W117,"3'-0""","3'-0""","6'-8""","0"""
D107,F1,door,Primary WIC Door,W118,"2'-0""","3'-0""","6'-8""","0"""
D108,F1,door,Primary Bath Door,W118,"10'-0""","3'-0""","6'-8""","0"""
D109,F1,door,Pantry Door,W126,"1'-6""","3'-0""","6'-8""","0"""
D110,F1,door,Mud to Service Hall,W127,"4'-6""","3'-0""","6'-8""","0"""
D111,F1,door,Mud to Mechanical,W128,"2'-6""","3'-0""","6'-8""","0"""
D112,F1,door,Garage to Mud,W102,"2'-0""","3'-0""","6'-8""","0"""
D201,F2,door,Bedroom 3 Door,W211,"4'-0""","3'-0""","6'-8""","0"""
D202,F2,door,Bedroom 4 Door,W211,"29'-0""","3'-0""","6'-8""","0"""
D203,F2,door,Bath 3 Door,W214,"2'-6""","3'-0""","6'-8""","0"""
D204,F2,door,Bath 4 Door,W218,"2'-6""","3'-0""","6'-8""","0"""
G101,F1,garage_door,Garage Bay 1,W105,"2'-0""","8'-0""","8'-0""","0"""
G102,F1,garage_door,Garage Bay 2,W105,"12'-0""","8'-0""","8'-0""","0"""
G103,F1,garage_door,Garage Bay 3,W105,"22'-0""","8'-0""","8'-0""","0"""
SD101,F1,slider,Living Rear Slider,W103,"18'-0""","6'-0""","8'-0""","0"""
SD102,F1,slider,Dining Rear Slider,W103,"4'-0""","6'-0""","8'-0""","0"""
WN101,F1,window,Theater Side Window,W104,"3'-0""","6'-0""","5'-0""","2'-6"""
WN102,F1,window,Bedroom 2 Side Window,W104,"15'-0""","6'-0""","5'-0""","2'-6"""
WN103,F1,window,Primary Side Window,W104,"29'-0""","7'-0""","5'-0""","2'-6"""
WN104,F1,window,Primary Rear Window,W103,"50'-0""","6'-0""","5'-0""","2'-6"""
WN105,F1,window,Primary Bath Rear Window,W103,"35'-0""","5'-0""","4'-0""","3'-0"""
WN107,F1,window,Dining Side Window,W102,"33'-0""","5'-0""","5'-0""","2'-6"""
WN108,F1,window,Theater Front Window,W101,"4'-0""","6'-0""","5'-0""","2'-6"""
WN109,F1,window,Stair Front Window,W101,"31'-0""","4'-0""","5'-0""","2'-6"""
WN110,F1,window,Mud Front Window,W101,"51'-0""","6'-0""","4'-0""","3'-0"""
WN201,F2,window,Bedroom 3 Rear Window,W203,"24'-0""","6'-0""","5'-0""","2'-6"""
WN202,F2,window,Bedroom 4 Rear Window,W203,"4'-0""","6'-0""","5'-0""","2'-6"""
WN203,F2,window,Bath 3 Side Window,W204,"16'-0""","4'-0""","4'-0""","3'-0"""
WN204,F2,window,Bath 4 Side Window,W202,"5'-0""","4'-0""","4'-0""","3'-0"""
WN205,F2,window,Stair Front Window,W201,"10'-0""","4'-0""","5'-0""","2'-6"""
WN206,F2,window,Loft Front Window,W201,"20'-0""","4'-0""","5'-0""","2'-6"""
